Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,-5.730539841294319,-7.962744377543653,-7.654583835882891,-9.638157610907955,-7.797591756237342,-8.983400685600847,-10.489402301193621,-12.119799504472919,-13.330219925708708,-13.857557432882178,-15.336327165722711,-15.418713482561227,-19.40101764639501,-23.623277392605917,-23.870107963046554,-30.385915625878212,-36.789446874274944,-39.311754641683436
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,-0.5927045972360331,-1.071477730681053,-2.2607287051958753,-2.7897417394543176,-3.093201562872097,-5.062532993823927,-5.306187787920942,-5.382750240889444,-8.927853837934615,-9.481010097124768,-13.036702304030992,-11.177977979215209,-13.191684699500653,-19.219679308994092,-22.363470067963654,-23.633674514742804,-29.849935652434716,-36.72119749736657
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,4.898074608916239,4.56001123759982,3.481263138924709,2.405348350650165,2.2284296342281618,0.4898960496767832,-0.7397547822710698,-1.4603576285347717,-2.587892089386061,-3.8289774860746757,-7.161499696476273,-7.3514268047116635,-11.445965640875787,-12.340763973884215,-14.752299131685845,-19.532166437664817,-27.100300616092486,-26.481389346460432
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-3.342625134422169,-3.822906022040561,-4.706295720965168,-6.055572263669578,-7.73487888355639,-7.567144716875301,-9.009006564114665,-9.28611076216995,-12.187007422978152,-11.803112875878416,-11.592983512691282,-16.576721258898054,-19.945264189028755,-21.376475421858732,-22.753048750189407,-23.460779190228383,-35.91739485459006,-38.394285868620784
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,2.3491179440166126,1.881425032964474,0.03608779514907612,-0.7260850647150194,-0.9430045354414388,-2.533746456868766,-1.884900151212699,-4.193443287302681,-5.137057739007711,-7.668403018110799,-11.179855261415087,-12.328776636702878,-13.866478139070704,-18.70365629510291,-21.150460332251864,-24.432534677447272,-27.400170304693365,-33.002754566631424
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,-0.7001893794734386,-0.8835430470158695,-1.625537425106068,-3.194688330834066,-3.426093489964265,-5.3807196058476485,-5.7101720724503275,-7.042002879547926,-6.708018944546847,-7.430293206674382,-10.34768311105423,-14.96376505019333,-15.037205157241829,-19.521463057639483,-20.70113212710184,-23.44436778873704,-30.784764462255993,-39.79321088822479
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.3165518219696863,-0.888103060077132,-1.9090917234023224,-3.7376774136568773,-3.2645814209273123,-5.550530703123525,0.41697928724273736,-6.002232894511696,-5.429282266731364,-8.946459781743414,-8.911475787955348,-8.576161549806697,-14.862233178987532,-18.64995494822136,-20.40670489778165,-21.249750775027636,-28.426393413780183,-28.440470408639545
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,-6.374253818210447,-6.512801844059749,-7.399489206944729,-9.534912829310043,-10.203257268505702,-9.569931827336097,-11.736835208058576,-12.639595431175993,-13.999723809173274,-15.30553122509552,-16.342935144765736,-19.30539967921187,-20.91617018143919,-26.192754350953095,-27.150217649300888,-29.23606914048767,-33.36978681990894,-37.94161862531208
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,2.338875031638316,1.8212799693272521,1.0627233656687858,-1.0133223963474338,-1.4736971604312787,-2.5269582683495893,-3.363221380546043,-4.157094672429592,-4.880476333048666,-7.34169402902405,-11.075824504380305,-12.794458037762467,-15.744246127536469,-18.059245543104694,-24.15464368143104,-27.44420922226031,-33.32993154067921,-38.10867617267581
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-2.7805983232766542,-2.9818132122696683,-3.3982455730630896,-5.113043344336098,-5.700597588327635,-6.395486700377195,-6.493890428532335,-7.871234032478341,-10.422094154927072,-12.62216398292188,-13.88809741490807,-14.181115458151245,-16.955678324133473,-21.499989631450823,-22.432178805420637,-28.41000722928728,-32.33203150849611,-36.86184267695561
