Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,1.3981465102605652,1.9316160865801804,1.3959800928800057,1.1347512587743478,0.6149823457309989,0.8817171338908063,0.7207000887364878,-0.2187115775443471,0.018489718340559146,-0.8112138867555743,-2.221817051850847,-1.1599043300510967,-2.655931130673889,-3.5201004668243794,-3.584065438495447,-7.008357840278134,-9.456692056490548,-13.918647006073995
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,0.9272514678209602,0.844260501787506,0.630254533680471,0.7207141643726943,0.9094938035973136,0.888585024447706,-0.801874971744532,0.8054286684043258,-0.6501339900059991,-0.034952790979748585,-1.2441278582869773,-1.50483474235473,-1.3714085280311734,-1.7512136287204616,-2.173906970404802,-5.170121094963759,-6.974090866389503,-15.305011989539652
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-0.44419064916656403,-0.3804746383463761,0.5876691426054668,-0.5861431737053976,0.047940837071523405,-0.6059889635438365,-0.2683459257591965,-0.6144123987863739,-0.5095604758066219,0.07617698583610226,-0.002588748944901789,0.13229646932368772,-1.1012185980844802,-0.7704444086716999,-1.9573769971535322,-2.3095295123978308,-2.393366949026436,-3.178653827494663
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-0.034943950371706056,-0.1205019466790784,0.14752305460785375,0.4920273174496782,-0.37580634361567844,0.5432313814536659,-0.2578450460145972,-0.03872070402873778,-0.28943904295322787,-0.6241693993529538,0.24194189603364666,-0.2233769810457528,-0.4124533049251181,-1.887483121933203,-3.8770541219244197,-3.8796376704425537,-6.1149778019560515,-7.733046975875782
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,1.1428139155934083,1.3182421056997833,0.37378701577204076,0.6228358250725987,0.9540974426830026,0.5322386194032122,0.575209954569334,-0.08568211536591232,1.5020754723413117,-1.3724949026809974,-0.7493066468941689,-0.129910590656575,-1.1693784610713063,0.11413043732143198,-0.20018576257718632,-5.328953835130435,-4.953152054595185,-7.098321417688677
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,2.3542219728652944,2.5352746258976766,2.071540282552406,1.7884978217841376,2.3697801987535505,2.2128991662316193,0.7491361783575332,1.5351648080164009,0.07309744128260026,1.4423385698471631,0.7811184792269578,-1.4582829491910556,-2.8573507751541483,-2.633564861682022,-4.154383697074433,-4.331296509131331,-8.503832307134012,-14.72751049067611
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.6861718047056169,-0.6747318962563085,-0.5907581001922368,-0.6858177649857156,-1.235951234747231,-1.337715526736339,-0.28682606439828257,-1.3047345140792908,-0.3697819962676382,-0.3351967411297873,-0.09323272005979423,-0.5247186286894117,-1.7403361344527597,-2.448924506352567,-2.017980721044048,-2.0976617855043176,-2.816119014596371,-3.224979572376051
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,0.018324718936206876,0.08764869644073295,-0.02830570709893613,-0.4368942121260314,0.17168339394538137,0.46637420747073943,-0.3955508142109956,0.5023027590034237,0.09785091773623646,0.29718930762731,0.20139532999618148,0.3819909147054245,1.3833308009696776,1.0369200706034472,1.6197829662797016,1.7039571018886164,1.487642122803089,1.297158052532942
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,1.7160698264780374,1.7240130729340817,1.8837562954055136,1.9497634187504547,1.8287712710311705,1.9691534334894498,1.3440498572821373,1.6645014597530743,1.2037352558508236,1.493340423724534,-0.3204801187838449,0.83337535760321,0.5475729103901087,-0.019997625568746964,-1.5328434445227106,-3.400239881414445,-4.416019921835317,-11.007572911388023
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,0.4545534188954936,0.43984902394250663,0.20842310674868775,-0.40161440627680095,0.3816869412549687,-0.3641979217699231,0.4757950689540858,0.19902469527572436,-0.9564927220900907,0.5721620043116435,0.07708451399691738,-0.8141258331235801,-1.1195166285447735,-4.474598937215479,-2.88183836366027,-4.252784025156594,-7.732809400581445,-12.925409594220602
